,AAPL_Price,consumer_sentiment,dollar_index,corp_profits,retail_sales,sentiment_weight
2020-01-01,58.46380615234375,0.13838120104438634,123.8033,,7023.0,
2020-01-02,58.46380615234375,0.13838120104438634,123.8033,,7023.0,
2020-01-03,58.46380615234375,0.13838120104438634,123.8033,,7023.0,
2020-01-04,58.46380615234375,0.13838120104438634,123.8033,,7023.0,
2020-01-05,58.46380615234375,0.13838120104438634,123.8033,,7023.0,
2020-01-06,58.46380615234375,0.13838120104438634,123.8033,,7023.0,
2020-01-07,58.46380615234375,0.13838120104438634,123.8033,,7023.0,
2020-01-08,58.46380615234375,0.13838120104438634,123.8033,,7023.0,
2020-01-09,58.46380615234375,0.13838120104438634,123.8033,,7023.0,
2020-01-10,58.46380615234375,0.13838120104438634,123.8033,,7023.0,
2020-01-11,58.46380615234375,0.13838120104438634,123.8033,,7023.0,
2020-01-12,58.46380615234375,0.13838120104438634,123.8033,,7023.0,
2020-01-13,58.46380615234375,0.13838120104438634,123.8033,,7023.0,
2020-01-14,58.46380615234375,0.13838120104438634,123.8033,,7023.0,
2020-01-15,58.46380615234375,0.13838120104438634,123.8033,,7023.0,
2020-01-16,58.46380615234375,0.13838120104438634,123.8033,,7023.0,
2020-01-17,58.46380615234375,0.13838120104438634,123.8033,,7023.0,
2020-01-18,58.46380615234375,0.13838120104438634,123.8033,,7023.0,
2020-01-19,58.46380615234375,0.13838120104438634,123.8033,,7023.0,
2020-01-20,58.46380615234375,0.13838120104438634,123.8033,,7023.0,
2020-01-21,58.46380615234375,0.13838120104438634,123.8033,,7023.0,
2020-01-22,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-01-23,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-01-24,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-01-25,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-01-26,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-01-27,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-01-28,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-01-29,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-01-30,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-01-31,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-02-01,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-02-02,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-02-03,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-02-04,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-02-05,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-02-06,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-02-07,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-02-08,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-02-09,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-02-10,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-02-11,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-02-12,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-02-13,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-02-14,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-02-15,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-02-16,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-02-17,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-02-18,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-02-19,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-02-20,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-02-21,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-02-22,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-02-23,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-02-24,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-02-25,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-02-26,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-02-27,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-02-28,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-02-29,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-03-01,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-03-02,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-03-03,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-03-04,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-03-05,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-03-06,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-03-07,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-03-08,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-03-09,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-03-10,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-03-11,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-03-12,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
2020-03-13,58.46380615234375,0.13838120104438634,123.8033,,7023.0,inf
